,ko00540,ko02010,ko00290,ko04122,ko00630,ko04540,ko00521,ko05204,ko03020,ko00362,ko04626,ko00620,ko04011,ko00250,ko04112,ko00260,ko03030,ko00330,ko00520,ko00440,ko04146,ko00030,ko02040,ko00564,ko00740,ko00340,ko00590,ko05134,ko00790,ko03430,ko00910,ko00770,ko00300,ko00860,ko05110,ko03420,ko00310,ko03018,ko00680,ko00311,ko04066,ko00670,ko00240,ko05111,ko02030,ko04070,ko00480,ko00071,ko03440,ko00020,ko00052,ko00627,ko03410,ko00550,ko02060,ko04974,ko00780,ko05142,ko00960,ko01053,ko00750,ko00660,ko00281,ko00791,ko04510,ko00908,ko00561,ko00040,ko05150,ko00760,ko00940,ko00500,ko00450,ko04142,ko01040,ko00785,ko00511,ko00930,ko00360,ko00361,ko00633,ko04010,ko00920,ko03060,ko00430,ko04113,ko05340,ko05143,ko00941,ko00363,ko00983,ko00625,ko00640,ko00062,ko03013,ko00562,ko00720,ko00945,ko04740,ko00140,ko00380,ko04514,ko04151,ko05203,ko04330,ko00591,ko00460,ko04310,ko04144,ko05200,ko05030,ko00510,ko00120,ko05100,ko04080,ko05010,ko04910,ko05219,ko04141,ko03040,ko00600,ko04111,ko05014,ko04110,ko04520,ko04976,ko04630,ko00621,ko05132,ko04210,ko03050,ko00830,ko00053,ko00565,ko00906,ko05032,ko00563,ko04145,ko04940,ko00100,ko04020,ko04270,ko00710,ko04810,ko05012,ko04710,ko00514,ko05146,ko04114,ko03015,ko05152,ko04120,ko00195,ko05322,ko04340,ko00513,ko05202,ko05133,ko04012,ko05016,ko04140,ko03008,ko04512,ko05034,ko00232,ko04621,ko04530,ko00531,ko05310,ko04150,ko04260,ko04115,ko00624,ko03022,ko05166,ko04130,ko03450,ko04970,ko04360,ko04972,ko03320,ko05130,ko05144,ko04350,ko04380,ko04064,ko00622,ko05131,ko00312,ko04612,ko00592,ko04062,ko05410,ko05412,ko04013,ko00253,ko00532,ko04610,ko00601,ko00534,ko05161,ko04623,ko04666,ko04744,ko04973,ko05168,ko04672,ko00909,ko04060,ko04742,ko00512,ko04723,ko04075,ko00901,ko00643,ko00364,ko00984,ko04962,ko05160,ko05164,ko05222,ko05020,ko04622,ko00522,ko04975,ko04971,ko00603,ko00904,ko04650,ko00980,ko05215,ko04670,ko04722,ko04950,ko04320,ko04930,ko00533,ko04964,ko04712,ko04614,ko02020,ko00280,ko00970,ko00230,ko03070,ko00650,ko00051,ko00190,ko00400,ko00730,ko00010,ko00061,ko03010,ko00270,ko00130,ko05120,ko00900,ko00350,ko04640,ko04966,ko00903,ko01057,ko00351,ko00523,ko01056,ko05323,ko04912,ko00196,ko04711,ko05211,ko04370,ko05416,ko05145,ko04960,ko05220,ko00604,ko04745,ko05169,ko05320
IT338,4,3459,379,275,190,0,58,20,392,12,39,665,21,888,465,1120,718,854,620,21,190,505,1,428,165,531,120,53,189,177,139,262,409,402,0,305,336,551,90,44,179,122,409,13,56,97,56,0,481,305,384,27,186,575,1027,0,176,0,0,23,73,0,39,1,0,34,369,110,1272,277,1,117,88,6,0,100,49,0,48,0,0,1,61,43,0,0,0,0,0,0,42,0,2,0,56,83,190,0,0,0,58,0,0,29,0,0,0,0,0,51,0,0,12,203,0,1,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,6,0,234,0,0,0,0,0,0,0,0,3,0,0,1,30,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,411,1171,914,522,128,362,510,369,163,634,209,937,784,249,108,325,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT339,66,719,178,64,18,0,54,2,236,8,20,190,4,322,234,296,277,120,124,0,74,206,2,68,74,59,0,40,87,62,70,112,110,142,0,160,30,254,38,6,52,48,164,0,26,22,94,10,174,64,142,0,86,162,136,0,12,2,0,12,36,0,2,0,0,4,44,36,8,90,10,132,30,12,0,14,2,0,8,0,0,0,16,6,0,4,4,0,0,0,4,0,6,0,32,2,32,0,2,4,4,0,14,8,0,0,0,0,0,22,0,4,0,0,0,0,20,2,0,40,0,0,14,2,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,52,620,468,194,10,70,200,155,70,200,64,423,756,88,16,106,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT361,3881,29947,6753,2999,754,5,2474,306,9082,212,1637,8241,145,15292,7379,14839,11715,5076,5911,297,3459,6267,147,3089,1886,2929,423,1421,2953,2295,2969,2845,6209,6924,2,7401,1917,12242,1721,93,3147,2967,6808,468,562,1247,2906,78,8592,3909,3901,74,3240,7581,5102,117,919,381,8,757,1018,13,228,12,50,477,2270,860,512,3712,286,3927,760,632,218,440,478,1,371,12,227,2,817,772,0,123,134,0,1,0,49,1,381,0,857,294,1702,146,0,1,154,3,735,840,4,0,0,2,7,881,0,154,1,81,11,79,46,46,24,22,10,1,0,13,4,1,2,0,64,45,181,11,59,0,2,1,1,1,10,0,4,0,16,5,3,0,1,18,3,0,1,9,1,17,3,0,0,0,0,2,1,0,0,0,0,15,1,26,0,0,0,0,14,0,0,0,0,1,10,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10607,2023,30596,17103,11425,671,2981,11448,6911,2858,8316,3979,19891,10457,2968,847,5012,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT381,494,3056,564,296,150,0,340,26,721,28,116,614,22,1104,646,1056,970,492,483,28,218,454,68,330,192,384,46,26,178,290,342,218,480,782,2,476,148,796,178,26,197,210,572,32,260,100,235,40,713,276,371,20,230,608,384,42,180,24,4,50,100,22,56,2,10,52,273,72,26,345,14,446,112,98,32,20,70,2,38,20,58,2,32,58,22,2,4,0,4,0,0,6,16,0,34,8,86,2,6,4,16,0,88,74,2,2,4,0,2,80,2,26,0,0,0,2,10,4,4,40,8,0,6,0,0,0,0,0,38,2,4,4,2,0,0,2,0,0,0,0,4,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,22,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,344,2391,1451,1004,94,304,708,519,193,668,391,1366,1413,205,132,424,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT52,69,665,54,49,49,0,39,34,105,47,6,94,7,168,105,261,92,232,50,11,71,91,81,80,32,75,18,5,39,26,103,47,103,188,9,56,25,88,18,8,29,16,47,20,148,11,21,32,95,40,5,29,45,95,45,0,23,7,4,47,23,0,53,2,2,5,49,32,13,60,5,57,11,7,11,0,2,3,41,21,7,2,37,10,10,0,6,2,7,3,2,1,19,0,9,9,5,10,1,5,5,1,7,13,0,1,8,0,1,8,3,0,0,0,0,0,1,4,2,6,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,123,199,158,388,40,63,105,81,35,120,71,77,265,52,19,38,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT85,2000,10314,1202,1372,670,0,164,222,1578,4,350,2370,64,2223,1966,3651,2694,1238,1712,58,798,1624,14,1286,688,152,18,16,802,865,1594,502,1156,838,2,1176,636,2585,858,0,258,494,1442,608,536,338,1044,0,2786,398,489,0,812,1996,798,4,696,0,0,0,228,6,0,4,0,108,800,1134,6,768,20,936,258,6,220,50,16,0,2,0,2,0,32,160,0,4,2,0,0,0,0,0,8,0,140,0,94,4,2,0,160,0,274,248,0,0,0,0,0,176,0,2,0,0,0,4,2,6,2,4,0,0,8,0,0,0,0,0,300,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011,200,5024,4006,1838,16,1062,1088,1603,530,1944,918,2718,1718,1132,184,1074,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0002,962,41358,6835,3951,288,12,2406,22,10917,48,1584,6621,160,18254,8929,18046,14972,5080,7773,446,3825,8515,12,4333,2215,3232,240,1387,4062,2202,2566,4602,6995,7642,0,11495,2404,16138,2096,22,5296,3212,8866,416,458,716,3197,4,9862,4349,9104,96,4768,8946,12016,174,652,980,2,2050,1146,14,2,6,28,836,2660,2266,340,5178,848,3740,1298,1226,258,708,1226,2,42,22,130,4,40,822,0,360,66,12,0,0,10,0,234,24,1098,322,2110,658,0,4,6,0,1500,1124,10,0,0,0,50,960,4,538,0,316,20,242,46,46,144,88,70,120,6,66,6,0,4,0,82,2,584,4,376,10,26,6,24,46,4,34,0,0,14,26,174,0,12,30,0,38,0,30,0,4,0,6,4,0,10,8,22,8,0,0,0,0,8,90,0,6,0,0,8,28,0,14,0,0,0,8,0,0,28,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15600,2934,36861,21700,9394,818,5686,9580,8782,4192,12206,4262,26506,12337,4309,535,6524,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0003,1810,80347,14574,7158,1180,0,5096,56,19133,594,2574,18532,482,31570,17240,30217,30236,8756,15725,762,5296,15639,78,9666,3496,6655,575,1406,7823,6932,3907,5925,14745,10331,0,16564,2768,24587,3182,426,7756,7478,18927,1056,2156,1959,5869,78,16998,4624,20101,625,8600,20219,22117,206,1532,880,8,1964,2836,32,50,164,108,1478,7476,4701,4603,8631,1376,12915,2612,4647,226,969,3759,0,276,8,266,4,138,1605,0,208,144,0,68,0,12,0,84,0,2369,392,4694,420,2,2,18,2,1462,2342,2,0,0,0,0,1160,0,414,0,408,2,82,532,154,30,12,60,0,10,2,0,0,0,0,112,286,418,12,744,36,0,0,0,2,8,0,0,0,20,0,0,0,0,20,0,4,10,2,12,4,0,0,0,0,0,0,0,0,0,0,0,168,0,90,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,27988,5510,73436,41540,18493,1733,8356,19675,17749,7377,17944,10833,46740,21430,4185,1228,10574,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0004,31,668,98,44,34,0,67,7,181,19,14,145,14,252,170,244,213,138,87,12,39,94,14,52,36,81,8,2,56,71,25,54,160,100,3,125,26,206,20,6,41,52,121,7,64,22,70,2,154,29,155,4,89,177,133,3,18,5,0,21,16,0,28,0,1,10,63,24,37,83,15,88,20,20,9,5,37,2,11,5,17,0,7,14,4,3,8,0,0,0,0,0,6,0,22,10,36,2,0,2,0,0,12,15,0,3,1,0,0,4,2,9,1,0,0,5,11,0,4,18,0,2,0,4,0,0,0,0,2,2,0,0,0,0,0,0,7,4,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,95,485,382,191,27,61,192,119,63,111,100,327,297,50,9,86,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0006,902,8684,1098,558,474,0,214,152,500,74,74,1334,18,1902,690,2498,900,1490,830,74,378,998,1080,813,252,714,152,56,206,402,744,368,600,726,6,402,496,908,358,36,136,328,638,198,1412,114,552,226,1026,450,786,36,322,926,1984,0,262,104,16,430,202,0,148,6,0,28,486,1322,14,732,260,1318,80,108,98,68,118,18,538,60,60,2,342,64,48,8,34,0,4,4,38,0,42,0,80,74,22,8,0,4,34,0,116,92,0,14,12,0,10,80,10,6,0,2,0,0,0,42,6,22,0,0,2,4,0,0,0,14,0,0,0,0,272,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5010,594,2076,1796,1978,126,890,1230,528,250,1318,432,904,1490,970,236,448,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0007,382,4880,786,478,148,0,434,12,1310,28,222,1090,24,2040,1122,2030,1730,666,922,28,334,1084,140,492,198,506,32,118,460,426,250,378,832,880,0,1072,142,1746,164,20,370,516,1148,62,180,150,470,26,1110,512,938,20,488,1174,972,36,118,60,2,92,154,20,24,8,8,86,398,248,144,580,120,910,150,166,38,50,154,0,62,8,34,2,64,104,0,16,16,2,10,0,10,0,20,0,96,30,238,12,0,2,38,0,134,140,2,0,0,0,0,72,0,42,0,32,0,4,32,12,10,12,4,0,2,0,0,0,0,0,50,14,24,6,50,6,0,0,0,0,0,0,2,4,2,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1762,366,4761,2602,1414,88,596,1274,866,406,1194,658,2772,1436,320,150,622,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0008,34,1274,288,152,8,0,76,0,400,8,66,282,2,743,438,620,514,135,248,26,128,258,0,170,64,128,6,56,180,92,110,116,215,326,0,389,82,696,36,6,232,151,430,12,16,20,155,0,252,202,312,2,150,308,282,14,24,28,0,74,72,0,0,2,4,48,90,76,26,244,18,162,20,96,2,18,28,0,0,0,4,0,4,44,0,4,0,0,0,0,0,0,6,0,18,0,106,14,0,0,0,0,32,40,0,0,0,0,0,30,0,28,0,6,2,2,4,0,0,22,0,0,4,0,0,0,0,0,0,0,16,16,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,80,1446,816,360,24,192,254,450,178,396,160,771,688,156,20,214,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0009,106,1232,126,99,169,10,91,55,245,82,32,181,58,428,175,542,256,383,167,25,160,179,126,140,41,142,47,7,49,59,214,91,217,281,29,128,78,306,37,36,78,81,135,33,283,25,100,24,186,105,80,37,106,163,65,5,28,7,8,106,50,1,97,7,9,19,128,38,12,127,20,150,19,34,20,5,5,13,73,14,14,3,92,44,20,39,7,9,12,1,8,3,37,18,66,36,16,13,0,19,31,0,42,40,6,3,12,1,54,25,13,11,0,0,4,61,6,0,94,90,9,81,6,73,0,0,0,0,3,0,45,0,9,0,0,3,19,15,2,16,4,0,0,32,90,0,10,2,2,53,2,50,0,2,7,14,8,0,13,0,19,11,0,2,0,0,17,0,0,7,0,0,0,17,0,8,3,0,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1020,303,571,392,666,52,146,263,153,55,210,167,324,343,94,22,77,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0010,1312,17686,3670,1726,432,0,1062,84,4754,70,736,4174,66,8011,3850,7264,6562,2350,2993,138,1721,3494,38,1768,992,1640,134,698,1894,1122,1440,1668,3782,3440,0,3993,1020,6334,994,30,1928,1668,4044,236,273,490,1536,38,4036,1931,2552,64,2004,4416,3636,20,404,342,2,652,559,18,44,24,0,366,1349,464,452,2004,152,2170,510,474,98,220,306,0,122,0,170,2,202,384,0,94,84,0,0,0,0,0,122,0,420,64,884,230,0,0,40,0,410,386,0,4,0,0,0,394,0,76,0,4,0,26,40,40,8,16,10,0,0,0,0,0,0,0,38,30,112,0,28,6,0,0,0,0,2,0,0,0,8,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6048,1056,15852,9562,4862,456,1850,4723,4171,1734,5222,2022,11228,5287,1674,300,2890,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0011,862,16520,2742,1400,268,2,1150,10,3766,100,584,3564,70,6346,3646,5591,6196,1890,3126,108,1020,2974,170,1708,682,1182,118,324,1438,1266,898,1204,2782,2062,2,3098,706,4770,474,68,1224,1537,3352,268,590,448,1130,48,3462,1134,3538,104,1664,4092,3676,64,474,114,2,234,608,38,34,26,0,284,1420,692,720,1838,248,2542,458,872,42,224,532,0,90,2,72,4,62,276,2,34,52,4,0,0,4,8,52,0,422,114,796,38,0,0,34,4,302,392,8,0,0,0,6,264,0,70,0,150,6,12,60,50,8,8,8,0,2,2,4,0,2,0,34,74,76,2,126,0,0,2,0,2,28,0,4,2,2,0,2,0,0,14,0,4,4,2,2,2,0,0,4,0,0,0,0,0,4,0,0,38,8,62,0,2,2,8,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5192,1016,13272,8320,4044,266,1700,3896,2838,1244,3372,1944,8802,4367,888,312,2168,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0012,724,22414,2634,1718,1614,2,1418,212,3134,372,328,3650,38,8732,3130,9554,4412,4874,1916,366,3868,2598,644,1752,986,3554,250,612,1346,720,1812,1796,3206,4280,54,3644,1328,3700,284,210,1132,1196,2486,352,1498,474,1544,168,2684,3000,1058,216,1944,3312,2236,2,838,466,28,426,814,0,726,64,2,316,1482,702,348,2118,124,2694,520,12,274,382,42,144,1556,744,52,0,1174,358,68,452,26,12,36,22,280,24,1076,2,104,156,760,56,0,96,532,2,578,374,0,16,50,4,10,516,38,78,0,12,2,2,0,0,10,132,0,0,10,4,0,0,0,14,0,0,314,0,128,0,88,0,0,18,0,0,4,0,2,2,0,0,4,12,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10004,4132,9806,7438,5618,394,1758,4284,3138,1410,3296,5094,6402,5360,2224,92,2040,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0013,258,7650,1024,668,606,0,464,128,1024,114,122,1184,16,2893,1000,3078,1622,1745,600,126,1290,722,228,606,340,1202,96,148,510,272,538,598,1193,1724,32,1205,450,1370,154,60,376,379,828,126,622,190,581,78,1058,880,400,130,750,1148,654,0,286,208,6,116,226,0,284,16,4,78,492,214,30,760,48,800,184,4,76,160,8,34,554,240,16,0,298,164,30,166,16,4,16,10,106,18,418,0,14,72,310,12,4,12,204,0,268,194,0,8,0,0,2,162,10,28,0,2,0,0,0,0,0,48,4,0,0,14,0,0,0,8,0,0,106,0,74,0,4,0,0,16,0,0,0,0,4,4,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566,1578,3250,2466,2010,174,476,1520,1148,426,1188,1962,1935,1808,680,64,746,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0014,240,4375,698,358,214,0,398,12,576,28,138,815,28,1978,525,1775,1035,834,512,66,680,688,68,437,210,636,28,148,266,108,376,400,628,900,0,740,166,827,82,4,209,276,642,94,116,100,400,54,710,618,342,20,326,808,572,6,184,70,0,98,126,4,56,0,12,34,349,348,16,478,74,576,68,60,34,112,22,12,284,146,16,0,196,130,2,100,6,0,0,0,50,0,156,14,48,42,188,0,0,16,86,0,124,90,0,0,0,14,12,64,0,14,0,0,8,20,4,4,28,42,2,90,8,68,0,0,0,0,4,2,80,2,46,4,12,0,2,18,4,14,6,0,0,2,30,0,8,8,2,28,4,24,0,0,0,2,2,0,2,0,4,8,2,4,0,0,10,8,0,6,2,0,0,2,0,4,0,0,0,2,6,12,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,626,2118,1520,1004,58,318,830,712,336,656,988,1360,1188,500,48,418,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0016,2351,32523,6475,2208,1100,2,3146,58,8027,346,1328,7032,180,13948,6787,11626,10969,4290,6343,281,2553,6173,173,2806,1480,3430,359,988,2266,2233,1315,2976,5920,6564,0,7642,1458,9174,1663,48,2305,2946,7319,323,1065,592,1877,63,6427,3905,5245,121,3033,6984,4826,348,1107,329,20,343,1046,19,102,60,13,625,2707,1815,641,4168,1277,4703,883,1261,82,436,826,2,361,89,377,1,213,663,10,48,466,0,3,4,18,0,121,0,356,987,1572,37,0,32,51,0,875,843,0,0,2,2,4,531,0,225,23,51,19,29,254,323,51,13,13,0,6,3,1,1,119,0,155,55,255,22,129,1,12,0,0,2,15,0,1,0,128,2,0,0,0,16,0,0,0,1,0,6,0,0,2,0,0,2,0,0,0,0,0,30,0,172,0,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11579,3246,26824,18167,7297,544,3483,9870,5742,2494,6836,4232,20387,10474,2870,1122,4813,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0017,24,226,26,12,24,0,18,12,33,4,4,66,0,55,157,98,64,132,21,0,26,36,36,22,24,40,0,0,0,18,16,28,34,80,6,30,2,56,6,4,12,16,30,0,104,10,17,12,23,48,0,4,6,50,24,16,24,4,0,12,0,0,20,4,0,2,24,0,8,22,4,14,0,12,8,5,0,0,12,16,8,0,6,0,2,8,0,0,0,0,0,0,14,0,8,0,4,4,2,0,0,2,24,8,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,74,88,78,130,20,24,97,47,10,22,16,55,301,18,2,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0018,23038,151889,30734,20238,4506,2,4586,3230,42890,1090,7920,50170,1701,67553,37560,80536,50104,24344,24634,1782,18682,21396,332,16418,13764,35314,2768,5964,13706,7434,16276,15612,29993,34042,40,24028,12696,54882,8698,592,12459,12236,37806,1192,1636,5086,26234,1744,40698,20944,12570,282,18292,39792,13680,446,10354,348,78,1140,7100,56,5876,100,70,2350,11420,5886,1972,24482,510,10880,4450,1428,5026,2070,1150,4,4152,64,656,20,11834,4252,6,102,298,10,48,0,702,0,548,0,3696,974,4664,98,0,16,528,0,7812,2048,12,14,0,18,906,3790,16,204,8,238,6,34,440,76,48,40,108,0,2,26,10,0,0,0,372,486,82,32,200,56,4,2,4,4,10,0,18,0,44,4,2,0,6,2620,6,4,0,20,0,12,6,10,2,0,12,26,6,22,0,0,0,30,16,32,0,0,0,32,0,8,0,0,0,0,6,2,4,0,6,0,6,0,8,0,0,0,0,0,0,0,2,0,0,2,0,10,2,0,0,0,0,4,0,0,2,0,0,0,0,0,10,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,76910,18632,143094,81536,46895,2590,10030,59026,31724,12518,32448,23894,91083,45769,14366,4384,24672,6862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
