[1] "Asp.f17,1.012767912,29892.9402325411,0.6960206455,8874.77412446361,0.99221148,16141.5718573135,0.0444708921935078"
[1] "BMI.kg.m2.,20.69,24.5971513833992,25.76,39.36067314578,20,30.548067952481,4.39365926830418e-05"
[1] "Asian_European,17, 0, 6,13, 0, 56,90, 0, 35,0.000499750124937531"
[1] "BSI_Bronchiectasis_severity_index,12,13.403162055336,9,14.3699914748508,9,16.6170322580645,0.00389331795727636"
[1] "A.fumigatus_conidial_burden_qPCR,0,14095255.9026628,163.656,12526519.6436875,384.048,2168667456.47501,0.0480537085794252"
[1] "A.terreus_conidial_burden_qPCR,231.0323324,1185305874.51492,3096.2,121888395.146961,1499.1,855461371.962622,0.0325708448349294"
[1] "MMRC_score,1,1.3399209486166,2,1.27919863597613,1,1.96090322580645,0.00361168774039714"
[1] "No_of_hospital_adm_1yr_before_study,1,1.31620553359684,0,0.797101449275362,0,2.38038709677419,0.0144072976586901"
[1] "No_of_exacerbations_1yr_before_study,2,2.5098814229249,2,6.10656436487639,1,4.82993548387097,0.000213979243831521"
[1] "Inhaled.corticosteroids..Yes.0..No.1.,11, 12,31, 38,34, 91,0.0219890054972514"
[1] "Mucolytic..Yes.0..No.1.,11, 12,13, 56,40, 85,0.0229885057471264"
[1] "Eotaxin,0.395554391,0.393245746617977,0.05617892,35.4806620826507,0.24977187,38.2587268564341,0.0364839756237417"
[1] "IL.1a,95.46497458,5134.62447283337,118.6467578,52530.1846095566,70.45441726,21977.2658531948,0.0141423550277875"
[1] "IL.1b,63.97846405,199702.616873776,171.944687,378787.466744007,40.78740211,139931.214593599,0.0122133930468322"
[1] "IL.9,0.004304189,0.241698120428163,0.001979842,3.8254933442144,0.011407556,3.93429114060086,0.0238160560213021"
[1] "MCP.3,2.244339785,6379.5480077898,1.168815306,35.4957463436588,1.921909077,19.1749710242947,0.0106375905750784"
[1] "PDGF.AA,0.336065126,9.03715512376759,0.352356427,12.4946863368857,0.665376172,21.0820849412889,0.00354145235312008"
[1] "PDGF.AB.BB,2.732046954,23.4366313048552,0.9693653675,6.90422848133069,1.666577943,20.5328804298608,0.00127811340900228"
[1] "TNFa,56.55763742,72459.7575199207,49.007520575,61982.1387441214,13.93600121,15617.7160164702,0.000112052882062559"
[1] "TNFb,0.194836144,0.468572430334875,0.0477799845,0.75798303986993,0.06726183,47.7593142869213,0.0292087407402972"
[1] "sCD40L,0.796885846,3.3365682010804,1.273304056,4.44589749726001,0.585024997,5.52451810183693,0.0435115001097062"
