"SUID","interaction","name","negated","selected","shared interaction","shared name","weight"
"1787","decreases_interacts with","Haemophilus_Streptococcus","false","false","decreases_interacts with","Haemophilus_Streptococcus","11.1102542116343"
"1788","increases_interacts with","Haemophilus_Neisseria","false","false","increases_interacts with","Haemophilus_Neisseria","6.493186053361111"
"1789","decreases_interacts with","RV_Pseudomonas","false","false","decreases_interacts with","RV_Pseudomonas","8.31938353721624"
"1790","increases_interacts with","Neisseria_Prevotella","false","false","increases_interacts with","Neisseria_Prevotella","6.157328742261361"
"1791","increases_interacts with","Neisseria_Prevotella","false","false","increases_interacts with","Neisseria_Prevotella","6.157328742261361"
"1792","decreases_interacts with","Saccharomyces_Flu_B","false","false","decreases_interacts with","Saccharomyces_Flu_B","6.071555443471019"
"1793","decreases_interacts with","Saccharomyces_Veillonella","false","false","decreases_interacts with","Saccharomyces_Veillonella","33.404811881472"
"1794","increases_interacts with","Streptococcus_RV","false","false","increases_interacts with","Streptococcus_RV","10.0693699753741"
"1795","increases_interacts with","Haemophilus_Veillonella","false","false","increases_interacts with","Haemophilus_Veillonella","6.94917231646299"
"1796","increases_interacts with","Curvularia_Flu_B","false","false","increases_interacts with","Curvularia_Flu_B","19.934284396555817"
"1797","increases_interacts with","RV_Prevotella","false","false","increases_interacts with","RV_Prevotella","22.9077073553254"
"1798","increases_interacts with","Haemophilus_Prevotella","false","false","increases_interacts with","Haemophilus_Prevotella","5.432201616408598"
"1799","decreases_interacts with","Streptococcus_Granulicatella","false","false","decreases_interacts with","Streptococcus_Granulicatella","13.314524294286304"
"1800","increases_interacts with","RV_Granulicatella","false","false","increases_interacts with","RV_Granulicatella","7.622652233023769"
"1801","increases_interacts with","Streptococcus_Prevotella","false","false","increases_interacts with","Streptococcus_Prevotella","9.915671548068902"
"1802","decreases_interacts with","Saccharomyces_Granulicatella","false","false","decreases_interacts with","Saccharomyces_Granulicatella","16.4169849011624"
"1803","decreases_interacts with","Streptococcus_Neisseria","false","false","decreases_interacts with","Streptococcus_Neisseria","14.061151758915349"
"1804","decreases_interacts with","Curvularia_Prevotella","false","false","decreases_interacts with","Curvularia_Prevotella","7.8256757660029805"
"1805","decreases_interacts with","Curvularia_Granulicatella","false","false","decreases_interacts with","Curvularia_Granulicatella","7.302780190804248"
"1806","decreases_interacts with","Veillonella_Prevotella","false","false","decreases_interacts with","Veillonella_Prevotella","50.06296198876821"
"1807","increases_interacts with","Haemophilus_Veillonella","false","false","increases_interacts with","Haemophilus_Veillonella","6.94917231646299"
"1808","decreases_interacts with","Candida_Neisseria","false","false","decreases_interacts with","Candida_Neisseria","8.49510123221709"
