BetweennessCentrality,EdgeCount,name,Stress
0.00693297,23,MPV,9
0.00762167,24,Flu_B,10
0.00693297,23,RV,9
0.00762167,24,Curvularia,10
0.00762167,24,Saccharomyces,10
0.00282369,20,Candida,4
0.00624426,22,Prevotella,8
0.00442302,22,Granulicatella,6
0.00602234,23,Neisseria,8
0.00358127,21,Veillonella,5
0.00762167,24,Streptococcus,10
0.00206612,20,Haemophilus,3
0.00624426,22,Pseudomonas,8
