Unnamed: 0,Pseudomonas,Haemophilus,Streptococcus,Veillonella,Neisseria,Granulicatella,Prevotella,Candida,Saccharomyces,Curvularia,RV,Flu_B,MPV
Pseudomonas,0.0,-7.855735024319411,-4.6173071608203795,4.59310826059747,-6.60977402267988,-10.8785900996631,-4.7388956508015,-9.35089024939689,-4.96211604064243,8.6799392836065,6.33548032087026,28.8726885158635,-9.631700626285278
Haemophilus,-6.35929077152463,0.0,0.0,6.94917231646299,6.493186053361111,-5.93754326963212,10.996242636828198,16.4620983676944,-7.13688887792559,0.0,-4.344211627186399,-8.805897180792039,-13.013304325590001
Streptococcus,-4.6173071608203795,0.0,0.0,12.7928965786835,9.11080127375555,17.3474798592152,21.6778316273023,0.0,6.87443756849136,13.410799904639198,10.0693699753741,-17.1979912759158,-7.935036341140799
Veillonella,0.0,6.94917231646299,12.7928965786835,0.0,17.9357725252625,17.242398990941,17.177851050248197,-5.522048860243469,0.0,-9.041736893790409,24.2884598869177,0.0,-16.352366224195197
Neisseria,-4.30017252875502,6.493186053361111,9.11080127375555,17.9357725252625,0.0,20.4119419804288,15.7617658106013,-4.776229264891639,15.2164198136726,0.0,9.645597484748619,-6.15997763515503,-5.91066650376637
Granulicatella,-6.71477082172796,-5.93754326963212,17.6783379504128,17.242398990941,21.3097108550447,0.0,14.099642417077801,-12.162617413554,10.2854911743298,6.74376736961475,10.017908168750699,-5.389968321834839,-6.75059477370172
Prevotella,-4.80740788054675,10.996242636828198,21.690061779594803,17.177851050248197,15.7617658106013,14.099642417077801,0.0,0.0,2.64536480488395,-3.7151422894995405,22.9077073553254,-8.35861505385327,-6.2122024682561205
Candida,-9.35089024939689,16.5723643401211,0.0,-6.034430954644541,-4.776229264891639,-12.6244049632093,0.0,0.0,-36.0117408605376,-19.19344856304,-6.83147610182205,13.402075297774902,10.2132016563968
Saccharomyces,-5.426354072374259,-7.99202108098762,6.87443756849136,0.0,15.2164198136726,10.2854911743298,-17.045759087848403,-36.5163390475832,0.0,-11.4043603160586,11.363406660420699,-12.3009526879802,9.86978687110932
Curvularia,8.6799392836065,0.0,14.557856838843401,-9.041736893790409,0.0,6.74376736961475,-3.7151422894995405,-17.391710349874497,-9.086982206776028,0.0,-8.18533668650461,28.144743696012696,-8.63102132517818
RV,6.33548032087026,-4.8971855727482305,10.0693699753741,26.5954198599527,10.990943246633801,11.1032044638714,72.6989385525811,-6.83147610182205,12.128332134856,-14.266497189298999,0.0,-8.58532784294361,-8.97043466797322
Flu_B,27.718068161934198,-8.805897180792039,-18.1799196051906,0.0,-8.43736669973704,-5.46416768859388,-13.017600247176098,13.402075297774902,-11.012645164836302,30.112537030795004,-10.514745904276,0.0,-20.1651175792943
MPV,-9.57661747579718,-13.3551468502226,-9.80862806343483,-18.4095928744249,-5.91066650376637,-8.53017420350202,-6.2122024682561205,9.616309209832501,9.86978687110932,-8.63102132517818,-11.659286626380998,-23.8430826999625,0.0
