"","x"
"1",3
"2",3
"3",1
"4",2
"5",2
"6",2
"7",2
"8",1
"9",1
"10",3
"11",1
"12",3
"13",3
"14",3
"15",3
"16",3
"17",3
"18",1
"19",1
"20",1
"21",1
"22",1
"23",2
"24",1
"25",3
"26",3
"27",1
"28",1
"29",1
"30",3
"31",3
"32",3
"33",3
"34",3
"35",3
"36",3
"37",3
"38",2
"39",1
"40",2
"41",1
"42",1
"43",1
"44",1
"45",2
"46",1
"47",1
"48",1
"49",3
"50",1
"51",3
"52",1
"53",1
"54",1
"55",1
"56",3
"57",3
"58",3
"59",1
"60",3
"61",3
"62",1
"63",1
"64",2
"65",3
"66",1
"67",3
"68",2
"69",2
"70",1
"71",2
"72",2
"73",1
"74",2
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",1
"86",3
"87",1
"88",2
"89",1
"90",2
"91",1
"92",2
"93",2
"94",3
"95",3
"96",1
"97",2
"98",1
"99",1
"100",1
"101",1
"102",1
"103",3
"104",2
"105",3
"106",1
"107",1
"108",1
"109",2
"110",3
"111",1
"112",2
"113",2
"114",2
"115",1
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",1
"124",3
"125",3
"126",2
"127",1
"128",1
"129",2
"130",2
"131",3
"132",2
"133",1
"134",2
"135",1
"136",1
"137",3
"138",2
"139",3
"140",1
"141",3
"142",1
"143",1
"144",3
"145",3
"146",3
"147",1
"148",1
"149",1
"150",2
"151",2
"152",2
"153",1
"154",2
"155",1
"156",2
"157",1
"158",1
"159",3
"160",3
"161",3
"162",2
"163",2
"164",1
"165",3
"166",1
"167",3
"168",2
"169",1
"170",3
"171",3
"172",1
"173",2
"174",2
"175",3
"176",1
"177",2
"178",1
"179",1
"180",1
"181",3
"182",3
"183",1
"184",1
"185",1
"186",3
"187",2
"188",1
"189",2
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",3
"198",3
"199",1
"200",1
"201",1
"202",1
"203",2
"204",3
"205",1
"206",1
"207",3
"208",1
"209",3
"210",1
"211",3
"212",1
"213",2
"214",1
"215",2
"216",2
"217",1
