"","x"
"1",2
"2",2
"3",1
"4",3
"5",3
"6",3
"7",3
"8",1
"9",1
"10",2
"11",1
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",1
"19",1
"20",1
"21",1
"22",1
"23",3
"24",1
"25",2
"26",2
"27",1
"28",1
"29",1
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",3
"39",1
"40",3
"41",1
"42",1
"43",1
"44",1
"45",3
"46",1
"47",1
"48",1
"49",2
"50",1
"51",1
"52",1
"53",2
"54",1
"55",1
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",1
"63",1
"64",3
"65",2
"66",1
"67",2
"68",3
"69",3
"70",1
"71",3
"72",3
"73",1
"74",3
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",2
"87",1
"88",3
"89",2
"90",1
"91",1
"92",3
"93",3
"94",2
"95",2
"96",1
"97",3
"98",1
"99",1
"100",1
"101",1
"102",1
"103",2
"104",3
"105",2
"106",1
"107",1
"108",1
"109",3
"110",2
"111",1
"112",2
"113",3
"114",3
"115",1
"116",2
"117",2
"118",2
"119",2
"120",2
"121",1
"122",2
"123",1
"124",2
"125",2
"126",3
"127",1
"128",1
"129",3
"130",2
"131",2
"132",3
"133",1
"134",3
"135",1
"136",1
"137",2
"138",3
"139",2
"140",2
"141",2
"142",1
"143",1
"144",2
"145",2
"146",2
"147",1
"148",1
"149",1
"150",3
"151",1
"152",3
"153",1
"154",3
"155",1
"156",3
"157",1
"158",1
"159",2
"160",2
"161",2
"162",3
"163",3
"164",1
"165",2
"166",1
"167",2
"168",2
"169",1
"170",2
"171",2
"172",1
"173",3
"174",3
"175",2
"176",2
"177",3
"178",1
"179",1
"180",1
"181",2
"182",2
"183",1
"184",1
"185",1
"186",2
"187",3
"188",1
"189",3
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",2
"198",2
"199",1
"200",1
"201",1
"202",1
"203",3
"204",2
"205",1
"206",2
"207",2
"208",1
"209",2
"210",1
"211",2
"212",1
"213",3
"214",1
"215",3
"216",1
"217",1
