"","x"
"1",2
"2",1
"3",3
"4",3
"5",3
"6",3
"7",3
"8",1
"9",1
"10",2
"11",3
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",3
"19",3
"20",3
"21",3
"22",3
"23",3
"24",1
"25",2
"26",1
"27",3
"28",3
"29",3
"30",2
"31",2
"32",1
"33",2
"34",2
"35",2
"36",2
"37",3
"38",3
"39",1
"40",3
"41",3
"42",3
"43",3
"44",3
"45",3
"46",3
"47",3
"48",3
"49",3
"50",3
"51",2
"52",3
"53",3
"54",3
"55",3
"56",2
"57",2
"58",2
"59",2
"60",1
"61",3
"62",3
"63",1
"64",3
"65",2
"66",1
"67",1
"68",3
"69",3
"70",3
"71",3
"72",3
"73",3
"74",1
"75",2
"76",3
"77",2
"78",1
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",1
"87",3
"88",3
"89",2
"90",1
"91",3
"92",3
"93",2
"94",2
"95",2
"96",3
"97",3
"98",3
"99",3
"100",1
"101",1
"102",3
"103",2
"104",3
"105",2
"106",3
"107",3
"108",1
"109",3
"110",1
"111",3
"112",3
"113",3
"114",3
"115",1
"116",2
"117",2
"118",2
"119",2
"120",2
"121",1
"122",2
"123",3
"124",2
"125",2
"126",3
"127",3
"128",1
"129",3
"130",3
"131",3
"132",3
"133",3
"134",1
"135",3
"136",3
"137",1
"138",3
"139",1
"140",2
"141",1
"142",1
"143",3
"144",3
"145",1
"146",2
"147",1
"148",1
"149",3
"150",3
"151",1
"152",3
"153",3
"154",3
"155",1
"156",3
"157",3
"158",3
"159",2
"160",2
"161",2
"162",3
"163",3
"164",3
"165",2
"166",3
"167",2
"168",3
"169",3
"170",2
"171",1
"172",3
"173",3
"174",3
"175",2
"176",2
"177",3
"178",3
"179",1
"180",1
"181",3
"182",2
"183",3
"184",3
"185",3
"186",1
"187",3
"188",1
"189",3
"190",1
"191",3
"192",3
"193",3
"194",3
"195",1
"196",1
"197",1
"198",2
"199",3
"200",3
"201",3
"202",3
"203",1
"204",1
"205",3
"206",2
"207",1
"208",3
"209",1
"210",3
"211",1
"212",3
"213",3
"214",3
"215",3
"216",1
"217",3
