"","x"
"1",2
"2",2
"3",2
"4",3
"5",3
"6",3
"7",3
"8",1
"9",1
"10",2
"11",3
"12",2
"13",2
"14",2
"15",2
"16",3
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",3
"24",1
"25",2
"26",1
"27",3
"28",3
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",3
"39",1
"40",3
"41",3
"42",2
"43",3
"44",2
"45",3
"46",2
"47",2
"48",1
"49",3
"50",1
"51",2
"52",3
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",3
"61",2
"62",3
"63",1
"64",3
"65",2
"66",1
"67",3
"68",3
"69",3
"70",3
"71",3
"72",2
"73",2
"74",3
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",1
"87",3
"88",3
"89",2
"90",1
"91",3
"92",3
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",1
"101",1
"102",2
"103",2
"104",3
"105",2
"106",3
"107",3
"108",1
"109",2
"110",3
"111",2
"112",2
"113",3
"114",3
"115",1
"116",2
"117",2
"118",2
"119",2
"120",1
"121",1
"122",2
"123",3
"124",2
"125",2
"126",2
"127",3
"128",1
"129",3
"130",3
"131",3
"132",3
"133",3
"134",1
"135",2
"136",3
"137",2
"138",2
"139",2
"140",2
"141",3
"142",1
"143",3
"144",3
"145",3
"146",2
"147",1
"148",1
"149",2
"150",3
"151",3
"152",3
"153",2
"154",3
"155",1
"156",2
"157",3
"158",3
"159",2
"160",2
"161",2
"162",3
"163",3
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",3
"172",3
"173",2
"174",3
"175",2
"176",2
"177",3
"178",2
"179",1
"180",1
"181",3
"182",2
"183",3
"184",3
"185",2
"186",1
"187",3
"188",1
"189",3
"190",1
"191",3
"192",3
"193",2
"194",3
"195",1
"196",1
"197",1
"198",2
"199",2
"200",3
"201",3
"202",2
"203",3
"204",1
"205",3
"206",2
"207",3
"208",2
"209",2
"210",2
"211",2
"212",2
"213",3
"214",2
"215",3
"216",3
"217",2
