"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",0,0,0,0,0,0,0.0381138746141403,0,0.0381138746141403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0.266059542265535,0,0,0,0,0,0,0,0.316499492940537,0,0,0,0.0816827402846583,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0.223528923401064,0.296198452159472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0.196595379550678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0.266059542265535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156987799778307,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0.196532843113843,0,0.20414993595106,0,0,0.179330318809089,0,0.3049889346144,0,0,0,0,0,0
"Leptotrichia",0.0381138746141403,0,0,0.196595379550678,0,0,0,0.189131560078442,0.220176628368109,0.318094081147416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0.189131560078442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0.0381138746141403,0,0.223528923401064,0,0,0,0.220176628368109,0,0,0,0,0,0.226821756391082,0.109205401688853,0.0747556291624661,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0.296198452159472,0,0,0,0.318094081147416,0,0,0,0,0,0.316326189632706,0,0,0,0,0.298801882367413,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0.196532843113843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37761665374298,0,0,0,0,0,0
"Veillonella",0,0.316499492940537,0,0,0,0.20414993595106,0,0,0.226821756391082,0.316326189632706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0.109205401688853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0.0747556291624661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,0.179330318809089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus",0,0.0816827402846583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0,0,0,0,0.3049889346144,0,0,0,0.298801882367413,0,0.37761665374298,0,0,0,0,0,0,0.270308572924353,0,0.313655718795094,0.266856758495322,0.37417667014512,0.109886439886031
"Cryptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270308572924353,0,0,0,0,0,0
"Penicillium",0,0,0,0,0.156987799778307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313655718795094,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266856758495322,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37417667014512,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109886439886031,0,0,0,0,0,0
