"","labels"
"DU0098",1
"DU0099",1
"TT0040",1
"TT0041",1
"TT0046",1
"TT0047",1
"TT0044",1
"TT0045",2
"KL0014",1
"DU0091",1
"TT0048",1
"DU0093",1
"DU0094",1
"DU0095",1
"DU0096",1
"DU0097",1
"DU0010",1
"DU0011",2
"DU0012",1
"DU0013",2
"DU0014",1
"DU0015",2
"DU0016",1
"DU0017",1
"DU0018",1
"DU0019",1
"KL0006",1
"KL0005",1
"KL0004",2
"DU0087",1
"DU0085",1
"DU0084",1
"DU0083",1
"DU0082",1
"DU0081",1
"DU0080",1
"DU0088",1
"TT0050",1
"KL0009",1
"KL0008",1
"TT0055",1
"TT0054",1
"TT0057",1
"TT0056",2
"KL0003",1
"KL0002",1
"KL0001",1
"CH0050",1
"CH0051",1
"CH0052",1
"CH0053",1
"TT0042",1
"DU0009",1
"DU0008",1
"DU0007",1
"DU0006",1
"DU0005",1
"DU0004",1
"DU0003",1
"DU0002",1
"DU0001",1
"CH0010",1
"CH0012",1
"CH0013",1
"DU0090",1
"CH0049",1
"CH0043",1
"CH0041",1
"CH0040",1
"CH0047",1
"CH0046",1
"TT0062",1
"CH0044",1
"DU0100",1
"DU0078",2
"TT0049",1
"DU0072",1
"DU0073",1
"DU0070",1
"DU0071",1
"DU0076",1
"DU0077",1
"DU0074",1
"DU0075",1
"KL0012",1
"DU0038",1
"SG0009",1
"SG0001",1
"SG0002",1
"SG0003",1
"SG0004",1
"SG0006",1
"SG0007",1
"DU0069",1
"DU0068",1
"DU0039",1
"CH0038",1
"CH0039",1
"CH0036",1
"CH0037",1
"CH0034",1
"CH0035",1
"DU0065",1
"CH0033",1
"DU0067",1
"CH0031",1
"TT0034",1
"CH0024",1
"CH0027",1
"SG0017",1
"TT0043",1
"SG0012",1
"SG0010",1
"SG0018",1
"DU0054",1
"DU0055",1
"DU0056",1
"DU0057",1
"DU0050",1
"DU0051",1
"DU0052",1
"DU0053",1
"DU0028",1
"DU0058",1
"DU0059",2
"CH0028",1
"TT0008",1
"TT0009",1
"TT0006",1
"TT0007",1
"TT0004",1
"TT0005",1
"CH0021",1
"CH0020",1
"CH0023",1
"TT0001",1
"TT0058",1
"DU0043",1
"DU0042",1
"DU0041",1
"DU0040",1
"DU0047",1
"DU0046",1
"DU0045",1
"DU0044",1
"DU0049",1
"DU0048",1
"CH0019",1
"TT0019",1
"TT0018",1
"TT0015",2
"TT0014",1
"TT0017",1
"TT0016",1
"CH0014",1
"CH0015",1
"CH0016",2
"TT0012",1
"DU0061",1
"DU0060",1
"DU0063",1
"KL0010",1
"CH0002",1
"TT0059",1
"DU0062",1
"SG0013",1
"DU0064",1
"TT0061",1
"CH0006",1
"CH0005",1
"CH0004",1
"CH0003",1
"CH0030",1
"CH0001",1
"DU0066",1
"DU0036",1
"DU0037",1
"DU0034",1
"DU0035",1
"DU0032",1
"DU0033",1
"DU0030",1
"DU0031",1
"TT0020",1
"TT0021",1
"TT0022",1
"TT0023",1
"TT0024",1
"TT0025",1
"TT0026",1
"TT0027",1
"TT0063",1
"TT0028",2
"TT0029",2
"TT0037",1
"TT0036",1
"TT0035",1
"DU0079",1
"TT0033",1
"TT0032",2
"TT0030",1
"TT0039",1
"TT0038",1
"DU0025",1
"DU0024",1
"DU0027",1
"DU0026",1
"DU0021",1
"DU0020",1
"DU0023",1
"DU0022",2
"DU0029",1
"TT0053",1
"TT0052",1
"AL0003",1
"AL0002",1
"AL0004",1
