K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
5,0.883638274342491,0.876228147886313,0.991085107957081,,,
6,0.869787624119179,0.8603753602287,0.988029189243323,,,
7,0.860737691988016,0.850679554398295,0.987093045458887,,,
1,0.854324154559109,0.826389555565992,0.873495316085167,0.997306742997968,0.965783324502312,
3,0.853270779875245,0.842120314748697,0.991537477784554,0.996366865099061,,
8,0.851473369202361,0.840757806029267,0.98608763156435,,,
2,0.845553264813749,0.836203576349905,0.994791707248734,0.990111235101502,,
9,0.84490565071578,0.833726994578156,0.985337518444687,,,
10,0.83868919707593,0.827070824475505,0.984645002868761,,,
22,0.837586141480639,0.813440651792878,0.979798268624468,0.848507695486876,,
23,0.835604041723534,0.810721744360358,0.979423420542641,0.84731975714659,,
4,0.83493844939216,0.822268805930609,0.992495511820036,0.99677640130765,,
11,0.834666406561251,0.822763226472615,0.984200106424745,,,
25,0.833966079477867,0.807945511138787,0.978346641499979,0.847711944120783,,
24,0.833636519311419,0.808622737582902,0.978981239069705,0.845285046188599,,
26,0.833255060623972,0.806623883990838,0.978302674576745,0.847788057907756,,
27,0.831929873840303,0.804380059677741,0.978089090273987,0.847628635835406,,
28,0.830520493459591,0.802857750492775,0.977746019030602,0.846203841520452,,
29,0.829916396295261,0.802067009867623,0.977527763072625,0.845809281939907,,
12,0.828321143135727,0.815969916202713,0.983483431481717,,,
30,0.828276400790843,0.80016676149483,0.977071619677814,0.844351197015233,,
21,0.826925346735168,0.810411830429266,0.979907839546293,0.82371390637149,,
31,0.826461034056215,0.797636781441228,0.976784318067295,0.84332943149839,,
20,0.826305740462152,0.833651947753051,0.98034618105944,0.79955992673983,,
32,0.825133192688443,0.796355125666277,0.976356788628881,0.841779726426442,,
33,0.823379600133554,0.793702601414679,0.976091634305445,0.841098482652792,,
34,0.822955821271197,0.793762334648216,0.97573155330449,0.839950353379911,,
35,0.822331028680812,0.792429796215901,0.975666455706327,0.840274359777117,,
36,0.821772661707435,0.7912651086623,0.975534620545424,0.840537862862673,,
13,0.82170023504777,0.80888307808956,0.982715769335284,,,
37,0.820880031532778,0.790189806769558,0.975397218911088,0.839785843399281,,
38,0.819987485114832,0.789574433746285,0.975020169624197,0.838396285510724,,
39,0.819404800407639,0.789542881003995,0.974736230303279,0.83694933978937,,
40,0.818346583441737,0.787825688436207,0.974587754771657,0.836708191942349,,
41,0.817818706278899,0.786800290681494,0.974457026965364,0.836846655031039,,
42,0.816989774668828,0.785998990503154,0.974212238609448,0.835877218435629,,
43,0.816384342436487,0.785189961226503,0.973997671314108,0.835505482950161,,
14,0.816349095240268,0.803155819062642,0.982089627221692,,,
44,0.815829083969843,0.783999626811223,0.973860325077153,0.835815997880705,,
45,0.81406156447564,0.781909098865957,0.973434284068088,0.834296079896097,,
46,0.813201113737174,0.781028352803501,0.973149680448769,0.833367261773906,,
47,0.812830600947353,0.780560840524748,0.972956684911077,0.833109574552756,,
48,0.812093333084567,0.779430024769043,0.972843536225679,0.83284647286753,,
49,0.81131170461859,0.777899496979502,0.972809025146752,0.833042370922681,,
15,0.811273913387072,0.797725376050949,0.981477413672114,,,
50,0.81045151423352,0.776761501574867,0.972679007397125,0.832467448714088,,
51,0.809942276876533,0.776054092021449,0.972592262782189,0.832178503276363,,
52,0.809419633402521,0.775281654889886,0.972419713039269,0.831964685660012,,
53,0.808940060230731,0.774176315011088,0.972324342452616,0.83234290438281,,
54,0.808550197248689,0.773440238971916,0.972248630464948,0.832410281229932,,
16,0.808008060220546,0.794231458471849,0.981076619688541,,,
55,0.807967005858761,0.772597689048398,0.972211275805601,0.832116610185567,,
56,0.807515636916438,0.772289321543469,0.972066386058445,0.831401901210841,,
57,0.806859509460642,0.771512603405908,0.97194512699904,0.830832399547048,,
58,0.806458029524442,0.770845697965039,0.97183300759826,0.830773181056813,,
